270597, Antoine Makoumbou, 73, CDM | CM, Cagliari, https://cdn.fifacm.com/content/media/imgs/fc24/players/p270597.png?v=22
235570, Makouta, 72, CDM | CM | CAM, Boavista, https://cdn.fifacm.com/content/media/imgs/fc24/players/p235570.png?v=22
235513, Silvère Ganvoula, 68, ST, BSC Young Boys, https://cdn.fifacm.com/content/media/imgs/fc24/players/p235513.png?v=22
268464, Gabriel Charpentier, 68, ST, Parma, https://cdn.fifacm.com/content/media/imgs/fc24/players/p268464.png?v=22
206440, Marvin Baudry, 67, CB, Stade Lavallois MFC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p206440.png?v=22
224095, Nolan Mbemba, 67, CM | CDM, Grenoble Foot 38, https://cdn.fifacm.com/content/media/imgs/fc24/players/p224095.png?v=22
227547, Dylan Saint-Louis, 67, RW | LW | LM, Vizela, https://cdn.fifacm.com/content/media/imgs/fc24/players/p227547.png?v=22
239312, Durel Avounou, 67, CM | CAM, CFR Cluj, https://cdn.fifacm.com/content/media/imgs/fc24/players/p239312.png?v=22
243885, Mons Bassouamina, 67, LM | ST, Pau FC, https://cdn.fifacm.com/content/media/imgs/fc24/players/p243885.png?v=22
231307, Morgan Poaty, 66, LB | LWB | LM, FC Lausanne-Sport, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
239211, Bevic Moussiti-Oko, 66, ST, US Concarneau, https://cdn.fifacm.com/content/media/imgs/fc24/players/p239211.png?v=22
70187, Christopher Ibayi, 64, ST, AC Ajaccio, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
243642, Warren Tchimbembé, 64, CM, FC Metz, https://cdn.fifacm.com/content/media/imgs/fc24/players/p243642.png?v=22
277982, Chandrel Matondo, 64, CDM | CM, Hatayspor, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
275337, Christ Makosso, 63, CB, RWD Molenbeek, https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
247085, Will Hondermarck, 62, CM | CDM, Northampton Town, https://cdn.fifacm.com/content/media/imgs/fc24/players/p247085.png?v=22
71548, Josna Loulendo, 59, ST, Al Ain FC (UAE), https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
227997, Offrande Zanzala, 59, ST, Newport County, https://cdn.fifacm.com/content/media/imgs/fc24/players/p227997.png?v=22
258375, Loick Ayina, 59, CB | RB, Ross County, https://cdn.fifacm.com/content/media/imgs/fc24/players/p258375.png?v=22
227966, Mouhamadou Sarr, 65, GK, Cremonese, https://cdn.fifacm.com/content/media/imgs/fc24/players/p227966.png?v=22
