185427, Ørjan Nyland, 72, GK, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p185427.png?v=22
229891, Julian Ryerson, 78, RB | LB, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p229891.png?v=22
224258, Kristoffer Ajer, 76, CB | RB, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p224258.png?v=22
238516, Leo Østigård, 73, CB, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p238516.png?v=22
219466, Birger Meling, 74, LB, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p219466.png?v=22
222227, Patrick Berg, 76, CDM | CM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p222227.png?v=22
216549, Alexander Sørloth, 79, ST, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p216549.png?v=22
222665, Martin Ødegaard, 88, CM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p222665.png?v=22
228092, Sander Berge, 75, CM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p228092.png?v=22
203362, Mohamed Elyounoussi, 72, LW | RW | CM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p203362.png?v=22
239085, Erling Haaland, 91, ST, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p239085.png?v=22
208573, Mathias Dyngeland, 67, GK, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p208573.png?v=22
238235, Hugo Vetlesen, 73, CDM | CM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p238235.png?v=22
262863, Antonio Nusa, 72, LM | LW | RM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p262863.png?v=22
247611, Egil Selvik, 69, GK, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p247611.png?v=22
277295, Oscar Bobb, 68, RW, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p277295.png?v=22
242725, Kristian Thorstvedt, 73, CM | CAM | CDM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p242725.png?v=22
233800, Fredrik Andre Bjørkan, 73, LB, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p233800.png?v=22
256459, Jesper Daland, 71, CB, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p256459.png?v=22
238756, Jørgen Strand Larsen, 75, ST, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p238756.png?v=22
243481, Marcus Holmgren Pedersen, 73, RB | LB, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p243481.png?v=22
237936, Aron Dønnum, 71, RM | LM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p237936.png?v=22
228518, Andreas Hanche-Olsen, 76, CB, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p228518.png?v=22
246548, Osame Sahraoui, 74, LM, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p246548.png?v=22
242090, Ola Solbakken, 73, RM | RW | LW, , https://cdn.fifacm.com/content/media/imgs/fc24/players/p242090.png?v=22
262135, David Møller Wolfe, 70, LB, , https://www.fifacm.com/content/media/imgs/fc24/players/notfound_player.png
